key,0
#,Name
offset,0
int32,str
0,無效分類
1,重生之境主線任務
2,第七星曆主線任務
3,蒼穹之禁城主線任務
4,龍詩戰爭終章主線任務
5,龍詩戰爭尾聲主線任務
6,紅蓮之狂潮主線任務
7,解放戰爭戰後主線任務
8,暗影之逆焰主線任務
9,拂曉回歸主線任務
10,末日序曲主線任務
11,曉月之終途主線任務
12,嶄新的冒險主線任務
13,金曦之遺輝主線任務
14,金曦之遺輝終章主線任務
15,第七星曆編年史：蠻神
16,第七星曆編年史：巴哈姆特
17,第七星曆編年史：水晶塔
18,第七星曆編年史：亞歷山大
19,第七星曆編年史：上古眾神
20,第七星曆編年史：瑪哈之影
21,第七星曆編年史：歐米茄
22,第七星曆編年史：重返伊瓦利斯
23,第七星曆編年史：四聖獸奇譚
24,第七星曆編年史：伊甸
25,寄葉異聞：暗黑天啟
26,第七星曆編年史：維爾利特戰役
27,第七星曆編年史：萬魔殿
28,第七星曆編年史：艾歐澤亞神話
29,第七星曆編年史：阿卡狄亞
30,第七星曆編年史：瓦納·迪爾的迴響
31,尤卡巨人族任務
32,輝鱗族任務
33,佩魯佩魯族任務
34,各族盟友任務
35,蜥蜴人族任務
36,妖精族任務
37,地靈族任務
38,魚人族任務
39,鳥人族任務
40,瓦努族任務
41,骨頜族任務
42,莫古利族任務
43,甲人族任務
44,阿難陀族任務
45,鯰魚精族任務
46,仙子族任務
47,奇塔利族任務
48,矮人族任務
49,悌陽象族任務
50,奧密克戎族任務
51,兔兔族任務
52,各族盟友任務
53,主線劇情外傳任務
54,非著名調查員支線任務
55,武器強化支線任務
56,特殊內容支線任務
57,支線劇情任務
58,拉諾西亞支線任務
59,黑衣森林支線任務
60,薩納蘭支線任務
61,庫爾札斯支線任務
62,摩杜納支線任務
63,伊修加德支線任務
64,阿巴拉提亞支線任務
65,龍堡支線任務
66,魔大陸支線任務
67,基拉巴尼亞支線任務
68,奧薩德支線任務
69,遠東之國支線任務
70,雷克蘭德支線任務
71,珂露西亞島支線任務
72,安穆·艾蘭支線任務
73,伊爾美格支線任務
74,拉凱提卡大森林支線任務
75,黑風海支線任務
76,薩雷安支線任務
77,薩維奈島支線任務
78,加雷馬支線任務
79,嘆息海支線任務
80,厄爾庇斯支線任務
81,天外天垓支線任務
82,尤卡圖拉爾支線任務
83,薩卡圖拉爾支線任務
84,無失世界支線任務
85,戰鬥菁英職業任務
86,魔法導師職業任務
87,能工巧匠職業任務
88,大地使者職業任務
89,中庸工藝館交易職業任務
90,薩雷安魔法大學交易職業任務
91,珠串萬貨街交易職業任務
92,戰鬥菁英特職任務
93,魔法導師特職任務
94,職能任務
95,軍隊任務
96,季節活動
97,其他任務
98,傭兵理符
99,採礦理符
100,園藝理符
101,釣魚理符
102,木工理符
103,鍛冶理符
104,鑄甲理符
105,雕金理符
106,製革理符
107,裁縫理符
108,煉金理符
109,烹調理符
110,神殿騎士團傭兵理符
111,神殿騎士團採礦理符
112,神殿騎士團園藝理符
113,神殿騎士團釣魚理符
114,神殿騎士團木工理符
115,神殿騎士團鍛冶理符
116,神殿騎士團鑄甲理符
117,神殿騎士團雕金理符
118,神殿騎士團製革理符
119,神殿騎士團裁縫理符
120,神殿騎士團煉金理符
121,神殿騎士團烹調理符
122,特殊部隊理符
123,軍隊理符
124,副本任務：重生之境
125,副本任務：蒼穹之禁城
126,副本任務：紅蓮之狂潮
127,副本任務：暗影之逆焰
128,副本任務：曉月之終途
129,副本任務：金曦之遺輝
130,遺產任務
