key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSDDD4ENTRANCE_00942_VANTHAU_000_000,哎呀……？<hex:02100103>您看起來並沒有準備好進行探索呢……。
1,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_ENTER,<hex:024804F2023503><hex:024904F2023603>挑戰「巡禮漫步」<hex:0249020103><hex:0248020103>
2,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_ENTER3,<hex:024804F2023503><hex:024904F2023603>挑戰「至極悲痛殲滅戰」<hex:0249020103><hex:0248020103>
3,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_ENTER2,<hex:024804F2023503><hex:024904F2023603>挑戰「至極悲痛詩想殲滅戰」<hex:0249020103><hex:0248020103>
4,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_RESET,重置「通關進度」
5,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_BREAKUP,解散「固定隊伍」
6,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_SCORE,查看「分數」
7,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_ABOUT,查看說明
8,TEXT_CTSDDD4ENTRANCE_00942_OPEN_CONTENTS_NOTE,打開攻略手冊
9,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_TITLE,想做什麼？
10,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_FIXED,以「固定隊伍」進入
11,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_MATCHING,以「匹配隊伍」進入
12,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_BACK,返回
13,TEXT_CTSDDD4ENTRANCE_00942_ENTER_FIXED_Q,要以「固定隊伍」進入嗎？
14,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MATCHING_Q,要以「匹配隊伍」進入嗎？
15,TEXT_CTSDDD4ENTRANCE_00942_VANTHAU_000_010,一個人去……？<hex:02100103>好大的勇氣啊……我肯定會嚇得瑟瑟發抖的……。<hex:02100103>拜託了，請一定要平安回來哦……。
16,TEXT_CTSDDD4ENTRANCE_00942_ENTER_SOLO,真的要一個人突入「巡禮漫步」嗎？
17,TEXT_CTSDDD4ENTRANCE_00942_ENTER_WHICH_Q,要從哪裡突入？
18,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A1,第1巡禮路
19,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A2,第21巡禮路
20,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A4,第31巡禮路
21,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A5,第51巡禮路
22,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A6,第71巡禮路
23,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A3,返回
24,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_TITLE_EG_NORMAL,<hex:024804F2023503><hex:024904F2023603>「至極悲痛殲滅戰」是<hex:0249020103><hex:0248020103><hex:02100103><hex:024804F2023503><hex:024904F2023603>一個可以重覆挑戰「T99」的<hex:0249020103><hex:0248020103><hex:02100103><hex:024804F2023503><hex:024904F2023603>練習用副本。<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>想做什麼？
25,TEXT_CTSDDD4ENTRANCE_00942_MIDDLE_TOP_MENU_NEXT,<hex:024804F2023503><hex:024904F2023603>挑戰下一巡禮路<hex:0249020103><hex:0248020103>
26,TEXT_CTSDDD4ENTRANCE_00942_MIDDLE_TOP_MENU_EXPLAIN,查看說明
27,TEXT_CTSDDD4ENTRANCE_00942_MIDDLE_Q,可以以現在的小隊繼續進行攻略。<hex:02100103>要前往下一層嗎？
