key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_000,喔，那該本大爺我出場了！<hex:02100103>就讓你好好看看，經過「屬性壓縮鍛造法」強化的力量！
1,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_001,喝啊啊啊啊啊啊啊啊！
2,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_002,嘿，連我自己都為之傾倒。濃密四屬性的乙太，沒有被蜃景所迷惑，完美地調和在一起了……。
3,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_003,這就是經過屬性壓縮鍛造法強化的幻境武器！<hex:02100103>「<hex:02280AFF05>Item<hex:E8020103>」！
4,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_004,這就是經過屬性壓縮鍛造法強化的幻境武器！<hex:02100103>「<hex:02280AFF05>Item<hex:E8020103>」和……<hex:02100103>「<hex:02280AFF05>Item<hex:E8030103>」完成了！
5,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_005,和積蓄乙太到魔導球裡相比，<hex:02100103>湊齊<hex:02280BFF05>Item<hex:F2B7020103>可能要輕鬆一些。<hex:02100103>但話雖如此，如果把它收在包裡可就是明珠暗投了。
6,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_006,為了找出可以進一步改良的空間，<hex:02100103>就盡情地揮舞它吧，讓它在你手中更加得心應手！
