key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSDDD4REWARD_00944_OSEWYDOSEWYD_000_000,好啦好啦，我也該準備一下了。<hex:02100103>既不用筆，也不用劍，就用我們工匠的方式，<hex:02100103>來幫助王之幼木吧！
1,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_010,我說過吧，我是個隨性的工匠！<hex:02100103>只要您提供了「基礎材料」，<hex:02100103>我就會獻上精湛的技藝！
2,TEXT_CTSDDD4REWARD_00944_Q1_000_020,想做什麼？
3,TEXT_CTSDDD4REWARD_00944_A1_000_021,交換道具
4,TEXT_CTSDDD4REWARD_00944_A1_100_021,兌換「光耀聖典」
5,TEXT_CTSDDD4REWARD_00944_A1_000_022,取出魔器裝備
6,TEXT_CTSDDD4REWARD_00944_A1_000_023,製作「光耀魔器柄」
7,TEXT_CTSDDD4REWARD_00944_A1_000_024,聽取說明
8,TEXT_CTSDDD4REWARD_00944_A1_000_025,取消
9,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_030,祭祀用的精美武器，也想在教會外使用？<hex:02100103>那就改日再來吧，我得稍微通融一下情理，<hex:02100103>讓道理稍微退讓一下！
10,TEXT_CTSDDD4REWARD_00944_SYSTEM_000_031,要想把巡禮漫步用的魔器裝備帶到外面，<hex:02100103>需要先完成通關「T30」時觸發的任務。
11,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_040,哎呀，別這麼著急嘛。<hex:02100103>無論如何，都要等調查結束，並把結果拿出來之後，<hex:02100103>才能盡情地把玩它！
12,TEXT_CTSDDD4REWARD_00944_SYSTEM_000_041,要製作「光耀魔器柄」，<hex:02100103>需要先完成通關「T30」時觸發的任務。
13,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_050,嗯——還遠遠不夠啊。<hex:02100103>無論是空蕩蕩的武器還是防具，都必須先恢復力量，<hex:02100103>才能體現出它們的「價值」……。
14,TEXT_CTSDDD4REWARD_00944_SYSTEM_000_051,要製作「光耀魔器柄」，<hex:02100103>「魔器裝備（武器/盾牌）」和「魔器裝備（防具）」的強化值，<hex:02100103>都需要達到「10」以上。
15,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_052,啊，不錯，裝備的力量恢復了。<hex:02100103>那麼，我就來製作魔器柄吧，<hex:02100103>就像悄悄地從人身上抽取靈魂一樣！
16,TEXT_CTSDDD4REWARD_00944_Q2_000_053,要製作「光耀魔器柄」嗎？<hex:02100103><hex:024804F201F403><hex:024904F201F503>※「魔器裝備（武器/盾牌）」和「魔器裝備（防具）」的<hex:02100103>　強化值將各減少「10」。<hex:0249020103><hex:0248020103>
17,TEXT_CTSDDD4REWARD_00944_Q3_000_060,想聽什麼？
18,TEXT_CTSDDD4REWARD_00944_A3_000_061,關於道具交換
19,TEXT_CTSDDD4REWARD_00944_A3_000_062,關於取出魔器裝備
20,TEXT_CTSDDD4REWARD_00944_A3_000_063,返回
21,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_070,那當然，我可是仙子族。<hex:02100103>雖然幻夢是我的拿手好戲，但如果把那個交給您，您會生氣吧？
22,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_071,因此呢，我只會製作等量的東西。<hex:02100103>請把遺留在教會內，帶有魔力的魔器碎片，<hex:02100103>作為材料交給我吧！
23,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_072,此外，還有「特別的東西」等著您。<hex:02100103>如果是精美的寶石或香油，我會毫不客氣地進行交換！
24,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_080,那些纖巧又奢華的魔器，會在祭祀中展現力量。<hex:02100103>但平時可是個麻煩……<hex:02100103>只要稍微磕碰一下，就會破碎或缺損！
25,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_081,於是我就動了點心思。<hex:02100103>將它們在祭祀中的「狀態」抽出、揉搓、塑形、定型。<hex:02100103>只要收集起來，其易用性可比真品強多了！
26,TEXT_CTSDDD4REWARD_00944_SYSTEM_000_082,要想取出「初光裝備」，<hex:02100103>就需要「光耀魔器柄」。<hex:02100103>可以帶到外面的，只有武器和盾牌。
27,TEXT_CTSDDD4REWARD_00944_SYSTEM_000_083,「光耀魔器柄」可以通過<hex:02100103>消耗「魔器裝備（武器/盾牌）」和「魔器裝備（防具）」的強化值各「10」來製作。
28,TEXT_CTSDDD4REWARD_00944_SYSTEM_000_084,另外，要進行這些製作和取出操作，<hex:02100103>需要完成在巡禮漫步中通關「T30」時觸發的任務。
